customer_name,age,country,gender,marital_status,period,total_sales,total_orders,total_products,customer_class,age_group,last_order,avg_order_value,avg_monthly_spend
"Brandon Robinson",60,"United Kingdom",Male,Married,18,10944,9,9,VIP,Senior,150,1216.0000,608.0000
"Megan Richardson",60,"United Kingdom",Female,Married,0,10734,3,3,New,Senior,168,3578.0000,NULL
"Mandy Chen",60,France,Female,Married,0,6546,3,3,New,Senior,160,2182.0000,NULL
"Jill Vazquez",55,Germany,Female,Single,21,6600,9,9,Regular,Middle-aged,145,733.3333,314.2857
"Kristi Sai",60,France,Female,Married,14,6756,9,9,Regular,Senior,146,750.6667,482.5714
"Bianca Liang",44,France,Female,Single,14,7683,15,15,Regular,Middle-aged,145,512.2000,548.7857
"Hector Ramos",49,Germany,Male,Married,0,7329,3,3,New,Middle-aged,167,2443.0000,NULL
"Erick Fernandez",44,"United Kingdom",Male,Married,23,17694,6,6,VIP,Middle-aged,144,2949.0000,769.3043
"Paul Suurs",44,"United Kingdom",Female,Married,24,17694,6,6,VIP,Middle-aged,144,2949.0000,737.2500
"Sergio SÃ¡nchez",50,France,Male,Married,0,510,12,12,New,Middle-aged,144,42.5000,NULL
"Kelvin Nara",51,Germany,Male,Single,0,510,12,12,New,Middle-aged,144,42.5000,NULL
"Jon Goel",45,France,Male,Single,0,210,6,6,New,Middle-aged,152,35.0000,NULL
"Tommy Raheem",50,Germany,Male,Single,19,7539,9,9,Regular,Middle-aged,145,837.6667,396.7895
"Jay Alonso",50,Germany,Male,Married,17,14478,18,18,VIP,Middle-aged,148,804.3333,851.6471
"Todd Wang",51,France,Male,Single,13,14499,12,12,VIP,Middle-aged,146,1208.2500,1115.3077
"Alyssa Bradley",50,France,Female,Married,12,14361,9,9,New,Middle-aged,146,1595.6667,1196.7500
"Susan Zhou",45,France,Female,Married,12,14322,18,18,New,Middle-aged,146,795.6667,1193.5000
"Robert Patterson",67,France,Male,Married,0,210,6,6,New,Senior,151,35.0000,NULL
"Emma Gonzales",65,"United Kingdom",Female,Married,0,210,6,6,New,Senior,150,35.0000,NULL
"Jessie Carlson",76,Germany,Female,Single,0,300,6,6,New,Senior,153,50.0000,NULL
"Tyrone Suarez",70,Germany,Male,Single,15,13767,21,21,VIP,Senior,149,655.5714,917.8000
"Robin Vazquez",76,Germany,Female,Married,15,14478,18,18,VIP,Senior,149,804.3333,965.2000
"Pedro Vazquez",75,"United Kingdom",Male,Married,0,210,6,6,New,Senior,145,35.0000,NULL
"Jay Suri",75,France,Male,Married,15,21024,21,21,VIP,Senior,144,1001.1429,1401.6000
"Chase Gray",75,France,Male,Married,9,13695,18,18,New,Senior,150,760.8333,1521.6667
"Clifford Perez",74,"United Kingdom",Male,Single,0,210,6,6,New,Senior,146,35.0000,NULL
"Julian Henderson",66,"United Kingdom",Male,Married,18,17958,18,18,VIP,Senior,149,997.6667,997.6667
"Ryan Garcia",66,"United Kingdom",Male,Married,20,18114,18,18,VIP,Senior,148,1006.3333,905.7000
"Isabel Barnes",65,Germany,Female,Single,15,13695,18,18,VIP,Senior,149,760.8333,913.0000
"Bruce Gomez",66,"United Kingdom",Male,Married,19,17829,12,12,VIP,Senior,149,1485.7500,938.3684
"Julia Morris",66,Germany,Female,Married,15,13485,12,12,VIP,Senior,149,1123.7500,899.0000
"Jonathon Hernandez",66,"United Kingdom",Male,Married,19,13941,18,18,VIP,Senior,148,774.5000,733.7368
"Eugene Guo",67,France,Male,Married,9,13641,12,12,New,Senior,149,1136.7500,1515.6667
"Jillian Kapoor",67,"United Kingdom",Female,Married,0,210,6,6,New,Senior,146,35.0000,NULL
"Ruth Mehta",67,"United Kingdom",Female,Married,19,13641,12,12,VIP,Senior,148,1136.7500,717.9474
"Alison Chande",63,Germany,Female,Married,0,210,6,6,New,Senior,155,35.0000,NULL
"Gabriel Simmons",70,Germany,Male,Married,0,210,6,6,New,Senior,151,35.0000,NULL
"Nina Jai",65,Germany,Female,Married,0,210,6,6,New,Senior,154,35.0000,NULL
"Brandy Rana",72,France,Female,Married,10,14016,18,18,New,Senior,149,778.6667,1401.6000
"Jeffery Liang",71,"United Kingdom",Male,Married,1,510,12,12,New,Senior,149,42.5000,510.0000
"Bethany Pal",72,France,Female,Single,0,264,12,12,New,Senior,146,22.0000,NULL
"Roy Madan",45,Australia,Male,Single,10,13371,18,18,New,Middle-aged,146,742.8333,1337.1000
"Alexia Henderson",44,Australia,Female,Single,11,13107,6,6,New,Middle-aged,145,2184.5000,1191.5455
"Heather Lin",44,Australia,Female,Married,0,210,6,6,New,Middle-aged,147,35.0000,NULL
"Lacey Liang",43,Australia,Female,Married,11,13032,6,6,New,Middle-aged,145,2172.0000,1184.7273
"Jaime Ramos",45,Australia,Female,Married,0,210,6,6,New,Middle-aged,145,35.0000,NULL
"Cara Guo",40,Australia,Female,Single,0,210,6,6,New,Middle-aged,146,35.0000,NULL
"Angela Jenkins",45,Australia,Female,Married,11,13179,9,9,New,Middle-aged,145,1464.3333,1198.0909
"Kate Deng",40,Australia,Female,Married,12,13317,12,12,New,Middle-aged,145,1109.7500,1109.7500
"Roger She",46,Australia,Male,Single,12,13032,6,6,New,Middle-aged,145,2172.0000,1086.0000
"Trevor Price",46,Australia,Male,Married,11,13308,12,12,New,Middle-aged,145,1109.0000,1209.8182
"Faith Barnes",47,Australia,Female,Married,12,13107,6,6,New,Middle-aged,145,2184.5000,1092.2500
"Alisha Zeng",48,Australia,Female,Married,6,582,15,15,New,Middle-aged,144,38.8000,97.0000
"Keith Sharma",46,Australia,Male,Married,0,210,6,6,New,Middle-aged,145,35.0000,NULL
"Mayra Suri",42,Australia,Female,Married,10,13173,6,6,New,Middle-aged,145,2195.5000,1317.3000
"Philip Dominguez",48,Australia,Male,Married,2,264,12,12,New,Middle-aged,146,22.0000,132.0000
"Corey Chavez",49,Australia,Male,Single,0,210,6,6,New,Middle-aged,147,35.0000,NULL
"Sandra Zhu",42,Australia,Female,Married,11,13098,6,6,New,Middle-aged,145,2183.0000,1190.7273
"Leslie Ramos",48,Australia,Female,Married,11,13389,15,15,New,Middle-aged,145,892.6000,1217.1818
"Alicia Lal",49,Australia,Female,Married,11,13173,6,6,New,Middle-aged,145,2195.5000,1197.5455
"Lori Blanco",50,Australia,Female,Married,0,510,12,12,New,Middle-aged,147,42.5000,NULL
"Sheena Raje",79,"United States",Female,Married,0,210,6,6,New,Senior,145,35.0000,NULL
"Alexander Robinson",79,"United States",Male,Single,11,11583,9,9,New,Senior,148,1287.0000,1053.0000
"Garrett Rogers",77,"United States",Male,Married,12,11658,9,9,New,Senior,147,1295.3333,971.5000
"Johnny Kumar",78,"United States",Male,Married,0,210,6,6,New,Senior,147,35.0000,NULL
"Isabella Allen",77,"United States",Female,Married,0,510,12,12,New,Senior,146,42.5000,NULL
"Grace Thompson",77,"United States",Female,Married,0,210,6,6,New,Senior,154,35.0000,NULL
"Chloe Thompson",72,"United States",Female,Married,0,210,6,6,New,Senior,145,35.0000,NULL
"Julian Hayes",77,"United States",Male,Married,0,510,12,12,New,Senior,147,42.5000,NULL
"Evan Nelson",76,"United States",Male,Married,0,210,6,6,New,Senior,147,35.0000,NULL
"Austin Jenkins",76,Canada,Male,Married,5,1020,24,24,New,Senior,145,42.5000,204.0000
"Kaitlin Martinez",41,"United States",Female,Married,12,11583,9,9,New,Middle-aged,147,1287.0000,965.2500
"Kristen Xu",59,Australia,Female,Single,11,13173,6,6,New,Middle-aged,145,2195.5000,1197.5455
"Bobby Rodriguez",64,Australia,Male,Married,11,13098,6,6,New,Senior,145,2183.0000,1190.7273
"Margaret Li",63,Australia,Female,Single,11,13032,6,6,New,Senior,145,2172.0000,1184.7273
"Crystal Xu",64,Australia,Female,Single,11,13308,12,12,New,Senior,145,1109.0000,1209.8182
"Connor Flores",58,Australia,Male,Married,10,13317,12,12,New,Middle-aged,145,1109.7500,1331.7000
"Kari Gutierrez",51,Australia,Female,Single,10,13308,12,12,New,Middle-aged,145,1109.0000,1330.8000
"Edwin Ferrier",62,Australia,Male,Single,11,13098,6,6,New,Senior,145,2183.0000,1190.7273
"Arturo Andersen",56,Australia,Male,Married,0,420,12,12,New,Middle-aged,143,35.0000,NULL
"Erin Brooks",46,"United States",Female,Married,0,510,12,12,New,Middle-aged,153,42.5000,NULL
"Xavier Thompson",45,Canada,Male,Single,2,546,21,21,New,Middle-aged,144,26.0000,273.0000
"Garrett Stewart",46,Canada,Male,Single,0,72,3,3,New,Middle-aged,150,24.0000,NULL
"Xavier Young",45,"United States",Male,Married,6,4908,12,12,New,Middle-aged,153,409.0000,818.0000
"Louis Guo",61,Australia,Male,Single,11,13173,6,6,New,Senior,145,2195.5000,1197.5455
"Gilbert Deng",60,Australia,Male,Married,10,13107,6,6,New,Senior,145,2184.5000,1310.7000
"Priscilla Black",60,Australia,Female,Single,0,210,6,6,New,Senior,155,35.0000,NULL
"George Prasad",55,Australia,Male,Single,10,13032,6,6,New,Middle-aged,145,2172.0000,1303.2000
"Victoria Walker",53,"United States",Female,Married,11,11658,9,9,New,Middle-aged,147,1295.3333,1059.8182
"Kelly Coleman",54,"United States",Female,Married,11,11868,15,15,New,Middle-aged,147,791.2000,1078.9091
"Xavier Brooks",42,"United States",Male,Single,10,11658,9,9,New,Middle-aged,147,1295.3333,1165.8000
"Maria Diaz",62,"United States",Female,Married,11,11958,15,15,New,Senior,147,797.2000,1087.0909
"Christopher Anderson",57,"United States",Male,Married,0,210,6,6,New,Middle-aged,149,35.0000,NULL
"Dylan Jenkins",62,"United States",Male,Married,0,282,9,9,New,Senior,149,31.3333,NULL
"Brianna Smith",57,"United States",Female,Married,0,210,6,6,New,Middle-aged,152,35.0000,NULL
"JosÃ© Miller",63,"United States",Male,Single,11,11868,15,15,New,Senior,147,791.2000,1078.9091
"Claudia McDonald",57,"United States",Female,Married,11,11658,9,9,New,Middle-aged,147,1295.3333,1059.8182
"Blake Evans",63,"United States",Male,Married,10,12168,21,21,New,Senior,147,579.4286,1216.8000
"David Alexander",52,Australia,Male,Married,3,420,12,12,New,Middle-aged,146,35.0000,140.0000
"Rebekah Vazquez",52,Australia,Female,Married,10,13032,6,6,New,Middle-aged,145,2172.0000,1303.2000
"Edwin Zhang",58,Australia,Male,Single,11,13173,6,6,New,Middle-aged,145,2195.5000,1197.5455
"Marshall Andersen",57,Australia,Male,Married,10,13032,6,6,New,Middle-aged,145,2172.0000,1303.2000
"Cynthia Gonzalez",59,Australia,Female,Single,7,420,12,12,New,Middle-aged,144,35.0000,60.0000
"Barbara Li",54,Australia,Female,Single,10,13098,6,6,New,Middle-aged,145,2183.0000,1309.8000
"Steve Schmidt",53,Australia,Female,Single,11,13032,6,6,New,Middle-aged,145,2172.0000,1184.7273
"Colin Xu",60,Australia,Male,Single,2,6423,9,9,New,Senior,154,713.6667,3211.5000
"Ernest Zhou",49,Australia,Male,Married,3,6267,9,9,New,Middle-aged,153,696.3333,2089.0000
"Renee Navarro",49,Australia,Female,Single,11,13107,6,6,New,Middle-aged,145,2184.5000,1191.5455
"Tonya Chander",44,Australia,Female,Married,0,210,6,6,New,Middle-aged,153,35.0000,NULL
"Diane Munoz",55,Australia,Female,Married,0,492,15,15,New,Middle-aged,152,32.8000,NULL
"Edward Hayes",55,Australia,Male,Married,0,210,6,6,New,Middle-aged,144,35.0000,NULL
"Isaac Cox",55,Australia,Male,Married,11,13173,6,6,New,Middle-aged,145,2195.5000,1197.5455
"Anne Munoz",55,Australia,Female,Single,1,420,12,12,New,Middle-aged,150,35.0000,420.0000
"Victoria Anderson",61,Australia,Female,Married,11,13173,6,6,New,Senior,145,2195.5000,1197.5455
"Alberto Serrano",55,Australia,Male,Single,11,13032,6,6,New,Middle-aged,145,2172.0000,1184.7273
"Katrina Shen",56,Australia,Female,Single,11,13032,6,6,New,Middle-aged,145,2172.0000,1184.7273
"Bridget Kumar",46,Australia,Female,Single,10,13317,12,12,New,Middle-aged,145,1109.7500,1331.7000
"Bradley Goel",57,Australia,Male,Married,0,210,6,6,New,Middle-aged,149,35.0000,NULL
"Brittney Liu",57,Australia,Female,Married,0,420,12,12,New,Middle-aged,144,35.0000,NULL
"Dawn Lin",58,Australia,Female,Married,0,210,6,6,New,Middle-aged,144,35.0000,NULL
"Devin Allen",52,Australia,Male,Married,0,210,6,6,New,Middle-aged,151,35.0000,NULL
"Scot Schulte",53,Australia,Male,Single,0,54,6,6,New,Middle-aged,144,9.0000,NULL
"Natasha Blanco",59,Australia,Female,Married,11,13107,6,6,New,Middle-aged,145,2184.5000,1191.5455
"Logan Allen",61,Australia,Male,Married,0,210,6,6,New,Senior,151,35.0000,NULL
"Monica Subram",44,"United States",Female,Single,0,210,6,6,New,Middle-aged,146,35.0000,NULL
"Nicole Price",45,Canada,Female,Single,8,420,12,12,New,Middle-aged,144,35.0000,52.5000
"Victoria Miller",44,Canada,Female,Married,0,282,9,9,New,Middle-aged,154,31.3333,NULL
"Chloe Alexander",43,"United States",Female,Single,0,282,9,9,New,Middle-aged,151,31.3333,NULL
"Chase Ward",39,"United States",Male,Married,0,300,6,6,New,Adult,154,50.0000,NULL
"Sharon Tang",81,Australia,Female,Single,0,210,6,6,New,Senior,145,35.0000,NULL
"Angela Simmons",44,"United States",Female,Single,0,210,6,6,New,Middle-aged,143,35.0000,NULL
"Marissa Price",41,Canada,Female,Single,0,54,6,6,New,Middle-aged,143,9.0000,NULL
"Danielle Ward",41,"United States",Female,Single,5,4998,12,12,New,Middle-aged,153,416.5000,999.6000
"Naomi Alonso",80,Australia,Female,Married,0,6213,3,3,New,Senior,156,2071.0000,NULL
"Omar He",80,Australia,Male,Married,0,6147,3,3,New,Senior,156,2049.0000,NULL
"Manuel Martinez",79,Australia,Male,Single,0,6213,3,3,New,Senior,156,2071.0000,NULL
"Tabitha Kovar",77,Australia,Female,Single,0,6213,3,3,New,Senior,156,2071.0000,NULL
"Rebecca Green",44,"United States",Female,Single,0,4698,6,6,New,Middle-aged,158,783.0000,NULL
"Marcus Smith",44,"United States",Male,Single,0,210,6,6,New,Middle-aged,144,35.0000,NULL
"Julia Johnston",44,"United States",Female,Single,0,210,6,6,New,Middle-aged,149,35.0000,NULL
"Julia Taylor",40,"United States",Female,Single,0,210,6,6,New,Middle-aged,152,35.0000,NULL
"Natalie Peterson",48,"United States",Female,Married,11,11583,9,9,New,Middle-aged,147,1287.0000,1053.0000
"Luis Shan",42,"United States",Male,Single,10,11658,9,9,New,Middle-aged,147,1295.3333,1165.8000
"Haley Gray",42,"United States",Female,Married,11,11793,15,15,New,Middle-aged,147,786.2000,1072.0909
"Caleb Wright",51,"United States",Male,Single,10,11658,9,9,New,Middle-aged,147,1295.3333,1165.8000
"Megan Brown",51,"United States",Female,Married,11,11793,15,15,New,Middle-aged,147,786.2000,1072.0909
"Mackenzie Carter",51,"United States",Female,Married,10,11658,9,9,New,Middle-aged,147,1295.3333,1165.8000
"Julian Flores",46,Canada,Male,Single,5,6939,9,9,New,Middle-aged,144,771.0000,1387.8000
"Edward White",46,Canada,Male,Married,0,300,6,6,New,Middle-aged,151,50.0000,NULL
"Gabrielle Hernandez",46,"United States",Female,Married,0,210,6,6,New,Middle-aged,144,35.0000,NULL
"Rachel Bradley",47,Canada,Female,Single,0,6960,3,3,New,Middle-aged,149,2320.0000,NULL
"Taylor Anderson",53,"United States",Female,Single,11,11583,9,9,New,Middle-aged,147,1287.0000,1053.0000
"Oscar Henderson",47,"United States",Male,Single,10,11658,9,9,New,Middle-aged,147,1295.3333,1165.8000
"Luis Gonzales",52,Canada,Male,Married,0,54,6,6,New,Middle-aged,152,9.0000,NULL
"Joe Moreno",47,"United States",Male,Single,0,4698,6,6,New,Middle-aged,158,783.0000,NULL
"Sriniwa Narayanan",47,"United States",Female,Single,4,4908,12,12,New,Middle-aged,153,409.0000,1227.0000
"Adam Scott",46,Canada,Male,Married,3,282,9,9,New,Middle-aged,149,31.3333,94.0000
"Lauren Bailey",41,Canada,Female,Single,0,210,6,6,New,Middle-aged,146,35.0000,NULL
"Isabel Price",49,"United States",Female,Single,0,4698,6,6,New,Middle-aged,158,783.0000,NULL
"Abigail White",43,Canada,Female,Single,0,420,12,12,New,Middle-aged,145,35.0000,NULL
"Caleb Lal",49,Canada,Male,Single,8,408,18,18,New,Middle-aged,143,22.6667,51.0000
"Ryan Jai",48,"United States",Male,Married,0,210,6,6,New,Middle-aged,153,35.0000,NULL
"Gabriella Gonzalez",42,Canada,Female,Married,0,210,6,6,New,Middle-aged,145,35.0000,NULL
"Hailey Richardson",42,"United States",Female,Married,10,11637,15,15,New,Middle-aged,147,775.8000,1163.7000
"Samuel Martin",76,Canada,Male,Married,0,210,6,6,New,Senior,148,35.0000,NULL
"Eduardo Turner",75,Canada,Male,Married,0,6960,3,3,New,Senior,149,2320.0000,NULL
"Jordan Perez",69,"United States",Male,Married,0,210,6,6,New,Senior,144,35.0000,NULL
"Kevin Flores",75,Canada,Male,Married,8,264,12,12,New,Senior,145,22.0000,33.0000
"Tyler Wilson",75,Canada,Male,Married,2,420,12,12,New,Senior,148,35.0000,210.0000
"Maurice Xie",74,"United States",Male,Single,6,4770,9,9,New,Senior,152,530.0000,795.0000
"Tristan Coleman",74,"United States",Male,Married,0,54,6,6,New,Senior,152,9.0000,NULL
"Dakota Bradley",74,"United States",Male,Married,0,210,6,6,New,Senior,151,35.0000,NULL
"Garrett Sanchez",74,"United States",Male,Single,5,4908,12,12,New,Senior,152,409.0000,981.6000
"Matthew Brown",74,"United States",Male,Single,4,5070,15,15,New,Senior,152,338.0000,1267.5000
"Deanna Vazquez",73,"United States",Female,Married,0,210,6,6,New,Senior,144,35.0000,NULL
"Amanda Richardson",74,"United States",Female,Married,9,11658,9,9,New,Senior,147,1295.3333,1295.3333
"Robert Wright",73,Canada,Male,Married,4,7095,9,9,New,Senior,144,788.3333,1773.7500
"James Russell",73,"United States",Male,Single,0,4698,6,6,New,Senior,157,783.0000,NULL
"Jordan Lopez",73,"United States",Male,Married,0,210,6,6,New,Senior,144,35.0000,NULL
"Pamela Srini",61,"United States",Female,Single,0,4698,6,6,New,Senior,158,783.0000,NULL
"Yolanda Xu",71,"United States",Female,Married,7,5052,18,18,New,Senior,150,280.6667,721.7143
"Joanna Gutierrez",55,"United States",Female,Married,0,510,12,12,New,Middle-aged,152,42.5000,NULL
"Sophia Parker",55,"United States",Female,Single,0,210,6,6,New,Middle-aged,150,35.0000,NULL
"Haley Cooper",72,"United States",Female,Single,9,11583,9,9,New,Senior,147,1287.0000,1287.0000
"Ian James",71,"United States",Male,Married,9,11658,9,9,New,Senior,148,1295.3333,1295.3333
"Taylor Bryant",70,"United States",Female,Single,0,4698,6,6,New,Senior,157,783.0000,NULL
"Robert Diaz",70,"United States",Male,Married,7,4908,12,12,New,Senior,150,409.0000,701.1429
"Abigail Barnes",69,"United States",Female,Married,6,4908,12,12,New,Senior,150,409.0000,818.0000
"Janice Bennett",70,"United States",Female,Married,6,4998,12,12,New,Senior,150,416.5000,833.0000
"Taylor Taylor",69,Canada,Female,Single,0,6960,3,3,New,Senior,149,2320.0000,NULL
"Kaitlyn Lewis",69,Canada,Female,Single,5,7170,9,9,New,Senior,144,796.6667,1434.0000
"David Wilson",52,"United States",Male,Married,0,4698,6,6,New,Middle-aged,157,783.0000,NULL
"Cassidy Ross",68,"United States",Female,Married,0,4698,6,6,New,Senior,157,783.0000,NULL
"Caleb Hughes",69,"United States",Male,Married,0,210,6,6,New,Senior,153,35.0000,NULL
"Mya Simmons",68,"United States",Female,Single,0,210,6,6,New,Senior,150,35.0000,NULL
"Logan Bryant",62,"United States",Male,Single,9,11583,9,9,New,Senior,147,1287.0000,1287.0000
"Alex Cox",67,"United States",Male,Single,11,11658,9,9,New,Senior,147,1295.3333,1059.8182
"Brandon Walker",67,Canada,Male,Married,0,6885,3,3,New,Senior,148,2295.0000,NULL
"Emily White",67,Canada,Female,Married,0,6885,3,3,New,Senior,148,2295.0000,NULL
"Roberto Ruiz",68,"United States",Male,Single,10,11883,15,15,New,Senior,147,792.2000,1188.3000
"Rebekah Prasad",62,"United Kingdom",Female,Married,0,54,6,6,New,Senior,144,9.0000,NULL
"Colin Wu",62,France,Male,Single,9,13851,18,18,New,Senior,149,769.5000,1539.0000
"Donald Patel",57,France,Male,Single,12,14709,18,18,New,Middle-aged,147,817.1667,1225.7500
"Roger Kumar",57,"United Kingdom",Male,Married,0,54,6,6,New,Middle-aged,147,9.0000,NULL
"Ricardo Raje",58,France,Male,Single,15,14571,15,15,VIP,Middle-aged,144,971.4000,971.4000
"Omar Wang",64,France,Male,Married,10,17466,21,21,New,Senior,148,831.7143,1746.6000
"Stanley Subram",64,France,Male,Married,11,17649,9,9,New,Senior,148,1961.0000,1604.4545
"Donna Deng",64,Germany,Female,Single,16,13770,18,18,VIP,Senior,149,765.0000,860.6250
"Gilbert Huang",63,Germany,Male,Single,15,13641,12,12,VIP,Senior,149,1136.7500,909.4000
"Priscilla Pal",64,Germany,Female,Single,16,13788,15,15,VIP,Senior,149,919.2000,861.7500
"Karla Raji",63,"United Kingdom",Female,Married,20,13770,18,18,VIP,Senior,147,765.0000,688.5000
"Tiffany He",65,France,Female,Married,0,264,12,12,New,Senior,147,22.0000,NULL
"Micah Xu",65,France,Male,Married,10,14553,18,18,New,Senior,148,808.5000,1455.3000
"Tabitha Jimenez",64,Germany,Female,Married,17,14268,12,12,VIP,Senior,148,1189.0000,839.2941
"Clinton Dominguez",59,"United Kingdom",Male,Single,19,13641,12,12,VIP,Middle-aged,147,1136.7500,717.9474
"Nichole Raji",64,"United States",Female,Single,9,11583,9,9,New,Senior,147,1287.0000,1287.0000
"Abigail Johnson",86,"United States",Female,Married,0,210,6,6,New,Senior,145,35.0000,NULL
"Grace Lewis",55,"United States",Female,Married,10,11658,9,9,New,Middle-aged,147,1295.3333,1165.8000
"Jennifer Brown",55,"United States",Female,Married,0,210,6,6,New,Middle-aged,149,35.0000,NULL
"Bailey Brooks",55,"United States",Female,Single,9,11658,9,9,New,Middle-aged,147,1295.3333,1295.3333
"Lucas Rodriguez",50,Canada,Male,Married,0,210,6,6,New,Middle-aged,147,35.0000,NULL
"Richard Watson",56,Canada,Male,Married,2,636,21,21,New,Middle-aged,148,30.2857,318.0000
"Damien Lu",56,"United States",Male,Married,9,11583,9,9,New,Middle-aged,147,1287.0000,1287.0000
"Wyatt Wilson",55,"United States",Male,Single,0,210,6,6,New,Middle-aged,152,35.0000,NULL
"Angela Hughes",55,"United States",Female,Single,10,11583,9,9,New,Middle-aged,147,1287.0000,1158.3000
"Katherine Green",50,"United States",Female,Married,8,11658,9,9,New,Middle-aged,148,1295.3333,1457.2500
"Jenna Baker",63,"United States",Female,Married,0,210,6,6,New,Senior,152,35.0000,NULL
"Evan Cooper",64,"United States",Male,Married,8,11958,15,15,New,Senior,147,797.2000,1494.7500
"Julio Moreno",86,"United States",Male,Married,0,4698,6,6,New,Senior,156,783.0000,NULL
"Marshall Deng",45,"United States",Male,Married,8,11658,9,9,New,Middle-aged,147,1295.3333,1457.2500
"Neil Ortega",51,"United States",Male,Married,0,210,6,6,New,Middle-aged,150,35.0000,NULL
"Logan Rodriguez",58,"United States",Male,Married,8,11583,9,9,New,Middle-aged,147,1287.0000,1447.8750
"Ashley Walker",47,"United States",Female,Single,9,11658,9,9,New,Middle-aged,147,1295.3333,1295.3333
"Benjamin Winter",53,"United States",Male,Single,0,210,6,6,New,Middle-aged,145,35.0000,NULL
"Madison Smith",47,"United States",Female,Single,0,510,12,12,New,Middle-aged,152,42.5000,NULL
"Steven Cox",53,"United States",Male,Single,9,11658,9,9,New,Middle-aged,147,1295.3333,1295.3333
"Jennifer Watson",59,"United States",Female,Single,9,11583,9,9,New,Middle-aged,147,1287.0000,1287.0000
"Edward Gonzalez",59,"United States",Male,Single,9,11583,9,9,New,Middle-aged,147,1287.0000,1287.0000
"Sean Murphy",48,"United States",Male,Single,9,11583,9,9,New,Middle-aged,147,1287.0000,1287.0000
"Samuel Thompson",60,"United States",Male,Single,0,210,6,6,New,Senior,151,35.0000,NULL
"Ryan Jenkins",84,"United States",Male,Married,0,210,6,6,New,Senior,150,35.0000,NULL
"Caitlin Bailey",84,"United States",Female,Married,9,11583,9,9,New,Senior,147,1287.0000,1287.0000
"Christopher Garcia",83,"United States",Male,Married,0,210,6,6,New,Senior,144,35.0000,NULL
"Marcus Green",60,Canada,Male,Married,4,282,9,9,New,Senior,149,31.3333,70.5000
"Kristopher Patel",60,"United States",Male,Single,9,11658,9,9,New,Senior,147,1295.3333,1295.3333
"Julia Harris",60,"United States",Female,Married,0,210,6,6,New,Senior,146,35.0000,NULL
"Gabrielle Morgan",60,"United States",Female,Single,9,11583,9,9,New,Senior,147,1287.0000,1287.0000
"Alexis Ross",59,"United States",Female,Married,8,11793,15,15,New,Middle-aged,147,786.2000,1474.1250
"Nathan Wright",60,"United States",Male,Married,9,11658,9,9,New,Senior,147,1295.3333,1295.3333
"Devin Johnson",60,"United States",Male,Married,8,11658,9,9,New,Senior,147,1295.3333,1457.2500
"Dalton Sanchez",65,"United States",Male,Single,7,5208,18,18,New,Senior,149,289.3333,744.0000
"Nicole Kelly",54,"United States",Female,Married,8,4908,12,12,New,Middle-aged,148,409.0000,613.5000
"Savannah Campbell",60,"United States",Female,Married,9,11583,9,9,New,Senior,147,1287.0000,1287.0000
"Eduardo Richardson",61,"United States",Male,Single,9,11583,9,9,New,Senior,147,1287.0000,1287.0000
"David Taylor",67,"United States",Male,Married,8,11658,9,9,New,Senior,147,1295.3333,1457.2500
"Isabelle Alexander",67,"United States",Female,Single,8,11658,9,9,New,Senior,147,1295.3333,1457.2500
"Olivia Blue",67,"United States",Female,Married,0,4698,6,6,New,Senior,156,783.0000,NULL
"Melissa Jenkins",77,Canada,Female,Married,0,6960,3,3,New,Senior,148,2320.0000,NULL
"Marissa Flores",83,"United States",Female,Married,0,6885,3,3,New,Senior,147,2295.0000,NULL
"Maria Hill",82,"United States",Female,Married,0,7170,9,9,New,Senior,147,796.6667,NULL
"Gabrielle Ramirez",82,Canada,Female,Married,3,7095,9,9,New,Senior,144,788.3333,2365.0000
"Paige Hayes",83,"United States",Female,Married,0,210,6,6,New,Senior,153,35.0000,NULL
"Joe Martinez",81,"United States",Male,Married,0,6885,3,3,New,Senior,147,2295.0000,NULL
"Jordan Hill",81,Canada,Male,Single,0,372,9,9,New,Senior,148,41.3333,NULL
"Angelica Henderson",81,"United States",Female,Married,0,210,6,6,New,Senior,151,35.0000,NULL
"Janelle Gonzalez",80,"United States",Female,Married,0,6885,3,3,New,Senior,148,2295.0000,NULL
"Matthew Martinez",80,Canada,Male,Single,0,72,3,3,New,Senior,148,24.0000,NULL
"Maria Murphy",79,Canada,Female,Married,1,7242,12,12,New,Senior,146,603.5000,7242.0000
"Xavier Williams",51,"United States",Male,Single,0,510,12,12,New,Middle-aged,154,42.5000,NULL
"Jessica Cooper",41,"United States",Female,Single,0,210,6,6,New,Middle-aged,155,35.0000,NULL
"Bradley She",75,Australia,Male,Married,0,210,6,6,New,Senior,146,35.0000,NULL
"Emma Henderson",41,"United States",Female,Single,0,510,12,12,New,Middle-aged,154,42.5000,NULL
"Amber Hernandez",41,"United States",Female,Single,0,54,6,6,New,Middle-aged,148,9.0000,NULL
"Thomas Diaz",41,Canada,Male,Married,0,54,6,6,New,Middle-aged,151,9.0000,NULL
"Devin Hernandez",41,"United States",Male,Single,0,210,6,6,New,Middle-aged,148,35.0000,NULL
"Willie Zhang",72,Australia,Male,Single,0,210,6,6,New,Senior,148,35.0000,NULL
"Jorge Sun",75,Australia,Male,Married,12,6495,12,12,New,Senior,144,541.2500,541.2500
"Byron JimÃ©nez",73,Australia,Male,Married,0,6147,3,3,New,Senior,156,2049.0000,NULL
